language,string_interp_year,created_year
ABAP,NA,1983
ASP,NA,2000
ActionScript,NA,1998
Ada,NA,1980
Assembly,NA,1949
C#,2015,2000
C++,NA,1985
C,NA,1972
CSS,NA,1996
Clojure,NA,2007
Cobol,NA,1959
CoffeeScript,2009,2009
Dart,2011,2011
Delphi,NA,1995
Go,NA,2009
Groovy,2003,2003
Haskell,NA,1990
Java,NA,1995
JavaScript,2015,1995
Julia,2012,2012
Kotlin,2011,2011
Lua,NA,1993
Matlab,NA,1979
Objective-C,NA,1984
PHP,1995,1995
Perl,1987,1987
PowerShell,2006,2006
Python,2016,1990
R,NA,1993
Ruby,2002,1995
Rust,NA,2010
SQL,NA,1974
Scala,2013,2004
Shell,1979,1979
Swift,2014,2014
TypeScript,2015,2012
VBA,NA,1993
Visual Basic,2015,1991
